Policy_ID,Policyholder_Name,Age,Gender,Policy_Start_Date,Policy_End_Date,Vehicle_Make,Vehicle_Model,Vehicle_Year,Autonomy_Level,VIN,Coverage_Type,Annual_Premium,Deductible,Claim_History,Last_Claim_Date,Claim_Amount,Safety_Score,IoT_Monitoring,Policy_Status,Country
10034,Christina Walker,41,Male,29-05-2024,29-05-2025,Rivian,R1T,2021,Level 3,1HGCM82633A016884,Basic,828,569,3,23-06-2024 00:00,4772,81,Yes,Active,Singapore
10035,Rachel Klein,56,Female,25-03-2024,25-03-2025,Cruise,Bolt,2019,Level 3,1HGCM82633A615349,Comprehensive,949,353,1,5/3/24 0:00,3877,87,No,Active,Singapore
10036,Ian Brown,59,Male,29-09-2024,29-09-2025,Tesla,Cybertruck,2022,Level 3,1HGCM82633A087317,Comprehensive,1215,626,3,3/6/24 0:00,4134,90,No,Active,Singapore
10037,Martin Shea,56,Female,24-03-2024,24-03-2025,Zoox,Autonomous,2023,Level 5,1HGCM82633A921376,Basic,809,474,2,20-05-2024 00:00,3318,76,Yes,Active,Singapore
10038,Brittany Hinton,41,Male,8/7/24,8/7/25,Rivian,R1S,2022,Level 3,1HGCM82633A296687,Basic,1328,320,0,N/A,0,82,Yes,Active,Singapore
10039,Stacy Bass,27,Female,12/7/24,12/7/25,Tesla,Model Y,2021,Level 3,1HGCM82633A389305,Basic,1471,535,2,1/10/24 0:00,4068,87,Yes,Active,Singapore
10040,Stephanie Meyers,61,Male,14-01-2024,14-01-2025,Zoox,Autonomous,2022,Level 3,1HGCM82633A824926,Collision,1348,606,3,14-08-2024 00:00,3975,100,No,Active,Singapore
10041,Michael Ruiz,63,Male,2/2/24,2/2/25,Tesla,Model S,2020,Level 4,1HGCM82633A801320,Comprehensive,1383,430,2,26-04-2024 00:00,2268,90,No,Active,Singapore
10042,Ryan Rivera,44,Female,3/3/24,3/3/25,Rivian,R1S,2019,Level 3,1HGCM82633A275868,Comprehensive,930,422,2,14-07-2024 00:00,4987,85,Yes,Active,Singapore
10043,Brandon Bauer,27,Female,20-07-2024,20-07-2025,Rivian,R1T,2022,Level 5,1HGCM82633A916348,Comprehensive,883,644,1,20-08-2024 00:00,3444,88,Yes,Active,Singapore
10044,William Bruce,64,Female,30-05-2024,30-05-2025,Rivian,R1S,2019,Level 3,1HGCM82633A993002,Collision,955,310,0,N/A,0,94,Yes,Active,Singapore
10045,Kelly Cook,65,Female,10/7/24,10/7/25,Tesla,Cybertruck,2021,Level 3,1HGCM82633A446660,Collision,1302,356,0,N/A,0,94,No,Active,Singapore
10046,Timothy Allen,64,Female,10/10/24,10/10/25,Zoox,Autonomous,2023,Level 4,1HGCM82633A500762,Basic,1196,450,0,N/A,0,91,Yes,Active,Singapore
10047,Scott Love DDS,27,Female,28-02-2024,28-02-2025,Rivian,R1S,2020,Level 4,1HGCM82633A560976,Collision,1447,338,0,N/A,0,76,No,Active,Singapore
10048,Brian Osborne,41,Male,8/1/24,8/1/25,Nuro,R2,2020,Level 3,1HGCM82633A099251,Comprehensive,1314,657,3,28-09-2024 00:00,4077,84,Yes,Active,Singapore
10049,Hannah Reyes,34,Female,9/7/24,9/7/25,Nuro,Delivery,2019,Level 3,1HGCM82633A109795,Collision,864,350,3,9/9/24 0:00,2639,98,Yes,Active,Singapore
10050,Michael Howell,53,Female,19-02-2024,19-02-2025,Zoox,Autonomous,2019,Level 4,1HGCM82633A641830,Collision,1058,340,2,1/6/24 0:00,2288,78,No,Active,Singapore
10051,Peter Gibson,69,Male,2/9/24,2/9/25,Cruise,Origin,2020,Level 3,1HGCM82633A100740,Basic,1174,336,1,20-07-2024 00:00,2851,75,Yes,Active,Singapore
10052,Laura Robinson,67,Male,6/2/24,6/2/25,Zoox,Autonomous,2021,Level 4,1HGCM82633A886841,Comprehensive,825,609,1,26-02-2024 00:00,2581,80,No,Active,Singapore
10053,Keith Livingston,32,Female,10/2/24,10/2/25,Cruise,Origin,2020,Level 3,1HGCM82633A611620,Basic,1170,471,3,22-06-2024 00:00,3198,84,No,Active,Singapore
10054,Jason Crawford,36,Male,6/5/24,6/5/25,Tesla,Cybertruck,2023,Level 4,1HGCM82633A415115,Basic,1185,375,1,25-09-2024 00:00,2912,85,Yes,Active,Singapore
10055,Gregory Smith,40,Male,30-03-2024,30-03-2025,Cruise,Origin,2022,Level 5,1HGCM82633A519230,Basic,935,607,0,N/A,0,87,Yes,Active,Singapore
10056,Michael Mays,69,Male,17-02-2024,17-02-2025,Waymo,RoboTaxi,2021,Level 5,1HGCM82633A045093,Collision,945,602,3,25-02-2024 00:00,3220,95,No,Active,Singapore
10057,Brian Cooper,30,Male,10/4/24,10/4/25,Rivian,R1S,2023,Level 3,1HGCM82633A203557,Collision,1218,304,3,23-04-2024 00:00,4982,85,No,Active,Singapore
10058,Shawn Tran,38,Female,6/5/24,6/5/25,Cruise,Origin,2019,Level 3,1HGCM82633A291189,Basic,1083,357,1,29-04-2024 00:00,4877,89,No,Active,Singapore
10059,Steven Bautista,36,Female,27-03-2024,27-03-2025,Rivian,R1T,2020,Level 4,1HGCM82633A583324,Collision,1335,372,2,24-05-2024 00:00,3894,95,Yes,Active,Singapore
10060,Angel Anderson,55,Male,8/1/24,8/1/25,Cruise,Bolt,2022,Level 5,1HGCM82633A611264,Collision,807,411,2,1/8/24 0:00,2468,99,No,Active,Singapore
10061,Timothy Garza,59,Male,25-04-2024,25-04-2025,Rivian,R1S,2019,Level 5,1HGCM82633A513758,Collision,1037,578,3,23-01-2024 00:00,3147,95,Yes,Active,Singapore
10062,Adam Hayden,32,Female,4/5/24,4/5/25,Zoox,Autonomous,2019,Level 4,1HGCM82633A735471,Collision,1338,597,3,13-03-2024 00:00,3821,78,No,Active,Singapore
10063,Destiny Grant,47,Female,24-09-2024,24-09-2025,Zoox,Autonomous,2023,Level 3,1HGCM82633A276266,Basic,872,434,2,8/3/24 0:00,4185,85,Yes,Active,Singapore
10064,Jesse Giles,58,Male,25-02-2024,25-02-2025,Waymo,Jaguar I-Pace,2022,Level 4,1HGCM82633A571734,Collision,1332,368,1,1/1/24 0:00,4176,78,No,Active,Singapore
10065,Joann Murray,65,Female,25-03-2024,25-03-2025,Zoox,Autonomous,2021,Level 4,1HGCM82633A414892,Collision,1381,621,1,13-06-2024 00:00,2643,78,Yes,Active,Singapore
10066,Kaitlin Gregory,49,Female,22-10-2024,22-10-2025,Nuro,Delivery,2020,Level 5,1HGCM82633A386401,Comprehensive,1106,481,3,14-04-2024 00:00,3700,81,No,Active,Singapore
10067,Amanda Scott,56,Female,23-07-2024,23-07-2025,Rivian,R1T,2022,Level 4,1HGCM82633A967145,Basic,1307,326,1,20-04-2024 00:00,2104,86,No,Active,Singapore
10068,Megan Gonzalez,50,Male,3/2/24,3/2/25,Nuro,R2,2019,Level 5,1HGCM82633A014485,Comprehensive,1485,502,0,N/A,0,86,Yes,Active,Singapore
10069,Scott Macdonald,32,Male,22-10-2024,22-10-2025,Cruise,Origin,2020,Level 3,1HGCM82633A216448,Comprehensive,1094,397,0,N/A,0,88,No,Active,Singapore
10070,Joseph Clark,70,Female,10/2/24,10/2/25,Rivian,R1T,2021,Level 4,1HGCM82633A686447,Comprehensive,1245,375,3,24-05-2024 00:00,4903,79,No,Active,Singapore
10071,Brenda Martinez,33,Male,16-02-2024,16-02-2025,Waymo,RoboTaxi,2021,Level 4,1HGCM82633A669728,Collision,1303,499,1,16-09-2024 00:00,2803,89,Yes,Active,Singapore
10072,Mark Newton,62,Male,25-03-2024,25-03-2025,Rivian,R1T,2020,Level 5,1HGCM82633A778570,Basic,991,486,0,N/A,0,98,Yes,Active,Singapore
10073,Charles Simpson,39,Female,29-08-2024,29-08-2025,Nuro,R2,2023,Level 4,1HGCM82633A305760,Collision,1221,534,0,N/A,0,95,No,Active,Singapore
10074,Veronica Mcdaniel,62,Female,1/2/24,1/2/25,Rivian,R1S,2022,Level 3,1HGCM82633A605019,Collision,1072,321,0,N/A,0,76,Yes,Active,Singapore
10075,Devin Bowman,47,Male,23-04-2024,23-04-2025,Cruise,Bolt,2020,Level 3,1HGCM82633A329431,Collision,1496,413,3,17-06-2024 00:00,4284,82,No,Active,Singapore
10076,Gary Jackson,37,Female,12/6/24,12/6/25,Nuro,R2,2023,Level 3,1HGCM82633A627285,Collision,1130,574,3,20-02-2024 00:00,3331,83,Yes,Active,Singapore
10077,Cody Bailey,58,Male,31-05-2024,31-05-2025,Waymo,RoboTaxi,2019,Level 3,1HGCM82633A676337,Comprehensive,1154,396,1,20-03-2024 00:00,3029,96,No,Active,Singapore
10078,Amber Price,44,Female,31-03-2024,31-03-2025,Cruise,Origin,2021,Level 5,1HGCM82633A125023,Basic,845,456,0,N/A,0,75,No,Active,Singapore
10079,Lisa Bush,56,Female,17-07-2024,17-07-2025,Tesla,Model Y,2022,Level 4,1HGCM82633A456708,Collision,920,343,0,N/A,0,82,Yes,Active,Singapore
10080,Mariah Payne,34,Female,12/10/24,12/10/25,Waymo,RoboTaxi,2023,Level 3,1HGCM82633A697747,Collision,1372,686,3,24-03-2024 00:00,2161,80,Yes,Active,Singapore
10081,Andrew Williams,56,Male,15-05-2024,15-05-2025,Waymo,RoboTaxi,2021,Level 4,1HGCM82633A040216,Collision,909,585,2,21-09-2024 00:00,4498,92,Yes,Active,Singapore
10082,Lee Grant,70,Female,26-03-2024,26-03-2025,Rivian,R1S,2023,Level 5,1HGCM82633A735919,Collision,1079,418,0,N/A,0,78,Yes,Active,Singapore
10083,Rebecca Morris,36,Female,25-06-2024,25-06-2025,Waymo,Jaguar I-Pace,2021,Level 5,1HGCM82633A540803,Comprehensive,806,679,3,23-05-2024 00:00,2203,78,No,Active,Singapore
10084,Sergio Reed,66,Female,19-03-2024,19-03-2025,Tesla,Cybertruck,2021,Level 3,1HGCM82633A444864,Comprehensive,1359,638,2,6/7/24 0:00,2907,98,Yes,Active,Singapore
10085,Micheal Williams,29,Female,2/8/24,2/8/25,Zoox,Autonomous,2020,Level 4,1HGCM82633A107770,Comprehensive,1291,446,1,9/6/24 0:00,2562,100,Yes,Active,Singapore
10086,Julia Wilson,60,Female,1/2/24,1/2/25,Cruise,Bolt,2020,Level 4,1HGCM82633A312637,Basic,981,561,0,N/A,0,79,Yes,Active,Singapore
10087,Sabrina Hansen,56,Male,2/6/24,2/6/25,Waymo,Firefly,2020,Level 3,1HGCM82633A023732,Collision,1161,611,1,18-04-2024 00:00,4576,90,Yes,Active,Singapore
10088,Emma Graham,64,Male,4/8/24,4/8/25,Nuro,Delivery,2022,Level 4,1HGCM82633A498347,Collision,812,412,1,18-07-2024 00:00,4706,90,No,Active,Singapore
10089,Kimberly Green,59,Female,31-03-2024,31-03-2025,Zoox,Autonomous,2021,Level 3,1HGCM82633A019126,Comprehensive,1211,660,1,6/4/24 0:00,3296,100,No,Active,Singapore
10090,Shawn Osborn,49,Male,3/1/24,3/1/25,Waymo,Jaguar I-Pace,2021,Level 5,1HGCM82633A886016,Comprehensive,1055,475,3,7/9/24 0:00,4737,98,Yes,Active,Singapore
10091,Wesley Cunningham,41,Female,30-03-2024,30-03-2025,Zoox,Autonomous,2021,Level 3,1HGCM82633A843318,Collision,1387,576,0,N/A,0,98,Yes,Active,Singapore
10092,Garrett Brooks,47,Male,5/7/24,5/7/25,Rivian,R1T,2019,Level 3,1HGCM82633A492208,Basic,812,415,2,15-07-2024 00:00,2272,76,No,Active,Singapore
10093,Kevin Johnson,67,Female,20-02-2024,20-02-2025,Waymo,Jaguar I-Pace,2022,Level 4,1HGCM82633A622812,Basic,1166,459,1,24-10-2024 00:00,4658,85,No,Active,Singapore
10094,Thomas Crawford,49,Male,24-10-2024,24-10-2025,Rivian,R1S,2023,Level 5,1HGCM82633A332365,Comprehensive,1273,688,0,N/A,0,93,Yes,Active,Singapore
10095,Brandi Jimenez,51,Female,11/2/24,11/2/25,Waymo,Jaguar I-Pace,2023,Level 3,1HGCM82633A908957,Comprehensive,1477,563,1,25-06-2024 00:00,2326,85,Yes,Active,Singapore
10096,Tyler Peters,36,Male,4/3/24,4/3/25,Tesla,Model X,2023,Level 3,1HGCM82633A778514,Comprehensive,880,518,0,N/A,0,94,No,Active,Singapore
10097,James Lee,70,Male,2/5/24,2/5/25,Nuro,R2,2021,Level 4,1HGCM82633A460305,Comprehensive,1185,313,0,N/A,0,90,Yes,Active,Singapore
10098,Tonya Cooper,47,Female,20-06-2024,20-06-2025,Zoox,Autonomous,2022,Level 3,1HGCM82633A345240,Comprehensive,1164,383,3,18-05-2024 00:00,3382,83,No,Active,Singapore
10099,Amy Mccoy,50,Male,17-05-2024,17-05-2025,Cruise,Origin,2023,Level 4,1HGCM82633A070030,Basic,1344,592,2,5/1/24 0:00,4813,76,No,Active,Singapore
10100,Matthew Jones,50,Male,25-01-2024,25-01-2025,Rivian,R1S,2022,Level 3,1HGCM82633A562376,Basic,1079,678,0,N/A,0,83,No,Active,Singapore
10101,Eric Banks,68,Male,9/10/24,9/10/25,Nuro,Delivery,2022,Level 4,1HGCM82633A660648,Basic,918,589,2,25-07-2024 00:00,2993,93,No,Active,Singapore
10102,Veronica Bush,35,Male,21-10-2024,21-10-2025,Cruise,Bolt,2023,Level 3,1HGCM82633A091662,Comprehensive,959,476,2,2/1/24 0:00,3192,95,No,Active,Singapore
10103,Lisa Stanley,45,Female,11/10/24,11/10/25,Rivian,R1S,2020,Level 3,1HGCM82633A215323,Basic,1382,322,3,9/1/24 0:00,2515,85,Yes,Active,Singapore
10104,Stephanie Newton,55,Female,22-09-2024,22-09-2025,Zoox,Autonomous,2019,Level 5,1HGCM82633A821691,Collision,1085,389,1,28-08-2024 00:00,2259,96,Yes,Active,Singapore
10105,Michelle Mendez,62,Male,16-01-2024,16-01-2025,Nuro,Delivery,2022,Level 4,1HGCM82633A456007,Collision,1091,306,3,4/2/24 0:00,4940,83,No,Active,Singapore
10106,Michael Ellis,59,Female,16-07-2024,16-07-2025,Cruise,Bolt,2022,Level 3,1HGCM82633A526547,Basic,1323,379,3,1/6/24 0:00,3478,89,Yes,Active,Singapore
10107,Joseph Roberts,60,Female,1/7/24,1/7/25,Zoox,Autonomous,2019,Level 4,1HGCM82633A089840,Comprehensive,962,648,1,26-06-2024 00:00,4584,86,No,Active,Singapore
10108,Bryan Reed,26,Male,20-01-2024,20-01-2025,Nuro,R2,2021,Level 3,1HGCM82633A040494,Collision,879,593,3,23-09-2024 00:00,2969,98,No,Active,Singapore
10109,Pamela Black,57,Male,29-05-2024,29-05-2025,Waymo,Jaguar I-Pace,2022,Level 3,1HGCM82633A431953,Collision,1449,502,2,15-08-2024 00:00,3035,88,No,Active,Singapore
10110,Kim Hutchinson,64,Female,4/3/24,4/3/25,Tesla,Model 3,2019,Level 4,1HGCM82633A250909,Basic,1056,403,3,1/3/24 0:00,3583,88,No,Active,Singapore
10111,Heidi Garrett,69,Male,5/5/24,5/5/25,Nuro,Delivery,2021,Level 5,1HGCM82633A769620,Basic,1377,663,2,24-02-2024 00:00,3343,75,No,Active,Singapore
10112,Jessica Peterson,55,Male,4/1/24,4/1/25,Tesla,Model S,2023,Level 4,1HGCM82633A749318,Collision,804,335,1,13-06-2024 00:00,4938,78,No,Active,Singapore
10113,Ronald Moreno,27,Female,25-01-2024,25-01-2025,Tesla,Model 3,2022,Level 3,1HGCM82633A291889,Comprehensive,1081,508,1,29-05-2024 00:00,4439,79,No,Active,Singapore
10114,Deborah Mitchell,44,Male,15-06-2024,15-06-2025,Waymo,Jaguar I-Pace,2020,Level 4,1HGCM82633A448885,Comprehensive,1457,666,0,N/A,0,98,Yes,Active,Singapore
10115,Cheryl Patton PhD,60,Female,3/1/24,3/1/25,Waymo,RoboTaxi,2023,Level 3,1HGCM82633A829657,Basic,1373,389,2,15-01-2024 00:00,2825,100,No,Active,Singapore
10116,Jennifer Mendez,45,Female,22-10-2024,22-10-2025,Cruise,Origin,2020,Level 4,1HGCM82633A305823,Comprehensive,956,319,1,2/9/24 0:00,4627,91,Yes,Active,Singapore
10117,Michael Smith,45,Male,12/10/24,12/10/25,Waymo,Firefly,2022,Level 5,1HGCM82633A393426,Basic,1269,567,1,31-01-2024 00:00,4906,85,Yes,Active,Singapore
10118,Cynthia Reeves,55,Male,16-07-2024,16-07-2025,Nuro,R2,2023,Level 4,1HGCM82633A132716,Basic,881,353,3,3/9/24 0:00,4488,86,No,Active,Singapore
10119,Dillon Kim,46,Female,21-10-2024,21-10-2025,Nuro,Delivery,2019,Level 3,1HGCM82633A595140,Collision,823,393,1,10/7/24 0:00,2078,85,Yes,Active,Singapore
10120,David Farmer,27,Female,30-05-2024,30-05-2025,Zoox,Autonomous,2021,Level 4,1HGCM82633A660975,Basic,1414,692,1,8/8/24 0:00,3465,77,No,Active,Singapore
10121,Michael Murphy,28,Female,10/1/24,10/1/25,Cruise,Origin,2021,Level 5,1HGCM82633A678201,Collision,1222,392,0,N/A,0,89,No,Active,Singapore
10122,Hannah Smith,37,Female,15-03-2024,15-03-2025,Tesla,Model 3,2019,Level 3,1HGCM82633A187050,Basic,1159,310,1,2/5/24 0:00,3653,94,Yes,Active,Singapore
10123,Calvin Haney,45,Female,3/9/24,3/9/25,Nuro,Delivery,2022,Level 3,1HGCM82633A462926,Basic,1348,505,2,28-04-2024 00:00,2113,95,Yes,Active,Singapore
10124,Carla Orozco,30,Female,5/7/24,5/7/25,Cruise,Bolt,2022,Level 3,1HGCM82633A080862,Basic,1328,620,2,13-05-2024 00:00,2150,75,No,Active,Singapore
10125,Robin Miller,46,Male,8/3/24,8/3/25,Nuro,R2,2020,Level 3,1HGCM82633A434544,Basic,1455,648,1,19-07-2024 00:00,4558,85,Yes,Active,Singapore
10126,Yvette Moore,55,Female,23-06-2024,23-06-2025,Tesla,Model X,2020,Level 5,1HGCM82633A820928,Collision,1136,387,1,14-01-2024 00:00,3442,82,Yes,Active,Singapore
10127,Emily Arroyo,51,Female,15-03-2024,15-03-2025,Cruise,Bolt,2022,Level 5,1HGCM82633A793782,Basic,966,598,0,N/A,0,96,No,Active,Singapore
10128,Susan Taylor,70,Male,26-10-2024,26-10-2025,Waymo,Jaguar I-Pace,2019,Level 4,1HGCM82633A808185,Comprehensive,803,319,0,N/A,0,99,Yes,Active,Singapore
10129,Reginald Garcia,61,Male,23-08-2024,23-08-2025,Waymo,Firefly,2022,Level 3,1HGCM82633A597568,Collision,1246,590,2,20-05-2024 00:00,4913,82,Yes,Active,Singapore
10130,Dr. Barbara Stewart,48,Male,9/1/24,9/1/25,Nuro,Delivery,2019,Level 3,1HGCM82633A220593,Collision,1379,637,2,18-01-2024 00:00,2395,88,No,Active,Singapore
10131,Antonio Collins,40,Female,31-05-2024,31-05-2025,Rivian,R1T,2022,Level 3,1HGCM82633A092516,Comprehensive,1292,503,0,N/A,0,83,No,Active,Singapore
10132,Henry Winters,58,Female,20-10-2024,20-10-2025,Nuro,R2,2023,Level 5,1HGCM82633A449762,Collision,1042,441,0,N/A,0,94,No,Active,Singapore
10133,Robert Lee,50,Male,30-05-2024,30-05-2025,Nuro,R2,2020,Level 5,1HGCM82633A151105,Collision,827,693,3,9/1/24 0:00,4994,87,No,Active,Singapore
10134,Luis Valdez,31,Female,6/1/24,6/1/25,Nuro,Delivery,2020,Level 3,1HGCM82633A578771,Collision,1285,510,1,21-01-2024 00:00,4417,84,Yes,Active,Singapore
10135,Jennifer Bowers,48,Female,11/4/24,11/4/25,Waymo,Firefly,2021,Level 4,1HGCM82633A081155,Comprehensive,1331,685,0,N/A,0,81,No,Active,Singapore
10136,Kaitlin Johnson,36,Female,19-07-2024,19-07-2025,Cruise,Origin,2019,Level 4,1HGCM82633A400652,Comprehensive,1241,317,3,31-07-2024 00:00,3102,87,Yes,Active,Singapore
10137,Caitlyn Maxwell,47,Male,2/3/24,2/3/25,Waymo,Jaguar I-Pace,2023,Level 4,1HGCM82633A395076,Basic,831,520,3,18-01-2024 00:00,3898,77,Yes,Active,Singapore
10138,Mark Murphy,52,Male,2/4/24,2/4/25,Waymo,Jaguar I-Pace,2020,Level 3,1HGCM82633A532675,Basic,830,568,1,7/8/24 0:00,4019,86,No,Active,Singapore
10139,Karl Smith,70,Female,14-08-2024,14-08-2025,Zoox,Autonomous,2022,Level 4,1HGCM82633A062200,Basic,1150,621,2,5/5/24 0:00,4183,97,Yes,Active,Singapore
10140,Amanda Waters,49,Female,13-02-2024,13-02-2025,Waymo,RoboTaxi,2021,Level 4,1HGCM82633A992260,Collision,1323,456,3,11/6/24 0:00,3664,78,Yes,Active,Singapore
10141,Thomas Cook,34,Male,6/4/24,6/4/25,Nuro,R2,2020,Level 5,1HGCM82633A258386,Comprehensive,1417,562,0,N/A,0,83,Yes,Active,Singapore
10142,Jason Hopkins,49,Male,7/2/24,7/2/25,Tesla,Model S,2019,Level 4,1HGCM82633A663763,Comprehensive,1292,462,0,N/A,0,96,No,Active,Singapore
